FrameTime;FrameNr;ElapsedTime
0,034185;319;12,9252
0,0353904;320;12,9594
0,0350002;321;12,9948
0,0330132;322;13,0298
0,0353264;323;13,0628
0,0334422;324;13,0981
0,0326125;325;13,1316
0,0332378;326;13,1642
0,0343414;327;13,1974
0,0348071;328;13,2318
0,0370818;329;13,2666
0,0517085;330;13,3037
0,0390955;331;13,3554
0,0465621;332;13,3945
0,0409645;333;13,441
0,0339804;334;13,482
0,0335142;335;13,516
0,0378784;336;13,5495
0,0382023;337;13,5874
0,0362222;338;13,6256
0,039032;339;13,6618
0,0368409;340;13,7008
0,0480457;341;13,7377
0,0337806;342;13,7857
0,0343121;343;13,8195
0,0380645;344;13,8538
0,0416034;345;13,8919
0,0354095;346;13,9335
0,0375211;347;13,9689
0,048039;348;14,0064
0,0406108;349;14,0544
0,0362221;350;14,095
0,0339598;351;14,1313
0,0351826;352;14,1652
0,0333373;353;14,2004
0,0326647;354;14,2337
0,0343455;355;14,2664
0,0325661;356;14,3008
0,0330877;357;14,3333
0,034429;358;14,3664
0,0340846;359;14,4008
0,0577897;360;14,4349
0,0948373;361;14,4927
0,0512792;362;14,5875
0,0455711;363;14,6388
0,0366352;364;14,6844
0,0401071;365;14,721
0,0423104;366;14,7611
0,0409949;367;14,8035
0,0644648;368;14,8444
0,0556497;369;14,9089
0,0707997;370;14,9646
0,0612111;371;15,0354
0,053278;372;15,0966
0,0486807;373;15,1498
0,0513828;374;15,1985
0,052278;375;15,2499
0,0498701;376;15,3022
0,0445186;377;15,3521
0,0406706;378;15,3966
0,0505163;379;15,4372
0,0458199;380;15,4878
0,0711443;381;15,5336
0,056462;382;15,6047
0,0430829;383;15,6612
0,0425575;384;15,7043
0,0381916;385;15,7468
0,0460766;386;15,785
0,0582791;387;15,8311
0,0501346;388;15,8894
0,0487123;389;15,9395
0,0508571;390;15,9882
0,065396;391;16,0391
0,0497925;392;16,1045
0,0603046;393;16,1543
0,050998;394;16,2146
0,0528362;395;16,2656
0,0446092;396;16,3184
0,0475061;397;16,363
0,0390652;398;16,4105
0,0459318;399;16,4496
0,0497267;400;16,4955
0,0385007;401;16,5452
0,0361968;402;16,5837
0,0499783;403;16,6199
0,0659887;404;16,6699
0,0407506;405;16,7359
0,0379733;406;16,7767
0,0358373;407;16,8146
0,0382433;408;16,8505
0,0448198;409;16,8887
0,0468143;410;16,9335
0,0370977;411;16,9804
0,0437357;412;17,0174
0,0513687;413;17,0612
0,0667782;414;17,1126
0,0542704;415;17,1793
0,0532293;416;17,2336
0,0604535;417;17,2868
0,0568888;418;17,3473
0,0498044;419;17,4042
0,0496474;420;17,454
0,0457441;421;17,5036
0,0561275;422;17,5494
0,06406;423;17,6055
0,0636861;424;17,6696
0,0729828;425;17,7332
0,050068;426;17,8062
0,0488404;427;17,8563
0,0571809;428;17,9051
0,0442277;429;17,9623
0,0471948;430;18,0065
0,0454577;431;18,0537
0,048133;432;18,0992
0,0383775;433;18,1473
0,0991922;434;18,1857
0,0392426;435;18,2849
0,033071;436;18,3241
0,0338096;437;18,3572
0,0311088;438;18,391
0,0323923;439;18,4221
0,0338571;440;18,4545
0,0336159;441;18,4884
